,target,prob,e_val,qStartPos,qEndPos
357,AF-A0A820HPW4-F1-model_v6,1.00,7.22e-41,1741,2520
358,AF-A0A1S3HSM4-F1-model_v6,1.00,9.02e-33,93,803
359,AF-A0A4C1UY82-F1-model_v6,1.00,1.17e-17,53,617
360,AF-A0A819HCB6-F1-model_v6,1.00,2.85e-23,46,711
361,AF-A0A8J4SRX6-F1-model_v6,1.00,1.28e-38,1939,2521
362,AF-A0A0M3K839-F1-model_v6,1.00,3.46e-19,1431,2310
363,AF-A0A914TIV3-F1-model_v6,1.00,6.05e-25,1,710
364,AF-C5KDI0-F1-model_v6,1.00,1.03e-17,1983,2514
365,AF-A0AAF3EM81-F1-model_v6,1.00,4.75e-27,338,1066
366,AF-A0A1W0X1X0-F1-model_v6,1.00,1.36e-32,2,826
367,AF-A0A183AU97-F1-model_v6,1.00,6.56e-18,1372,2344
368,AF-A0A9D3RZT4-F1-model_v6,1.00,1.22e-48,252,960
369,AF-A0A1I7S5E3-F1-model_v6,1.00,2.00e-22,1,733
370,AF-A0A0N5AVK8-F1-model_v6,1.00,9.55e-25,1,722
371,AF-A0AAW2UT49-F1-model_v6,1.00,8.64e-26,1958,2520
372,AF-A0A226NGJ2-F1-model_v6,1.00,9.16e-25,31,663
373,AF-A0A835ZIV2-F1-model_v6,1.00,4.26e-19,336,1187
374,AF-A0A8C2GDG4-F1-model_v6,1.00,3.41e-58,1731,2521
375,AF-A0AAV9SND7-F1-model_v6,1.00,4.16e-37,1558,2467
376,AF-A0A158PIP0-F1-model_v6,1.00,5.49e-14,75,1065
377,AF-A0AAV2LVJ0-F1-model_v6,1.00,5.73e-21,1502,2056
378,AF-A0A7F8K7I5-F1-model_v6,1.00,7.83e-34,1633,2521
379,AF-A0A7F8RJW4-F1-model_v6,1.00,7.71e-23,1484,2055
380,AF-A0A914WY87-F1-model_v6,1.00,1.74e-18,1432,2276
381,AF-A0A8S1L3E7-F1-model_v6,1.00,1.53e-23,1927,2519
382,AF-A0ABD2Z9J9-F1-model_v6,1.00,9.28e-10,12,775
383,AF-A0A914XDQ8-F1-model_v6,1.00,3.20e-33,611,1379
384,AF-A0AAD9PAP4-F1-model_v6,1.00,1.21e-46,1880,2521
385,AF-A0AAD7SSI6-F1-model_v6,1.00,7.58e-43,1557,2262
386,AF-X6N1S8-F1-model_v6,1.00,6.53e-23,1957,2521
387,AF-A0A8B6D5U3-F1-model_v6,1.00,3.25e-44,1589,2374
388,AF-A0A7S3SK61-F1-model_v6,1.00,7.35e-21,1904,2517
389,AF-A0A820WYB2-F1-model_v6,1.00,5.93e-19,23,714
390,AF-A0A7R9P7Y6-F1-model_v6,1.00,4.95e-27,2047,2521
391,AF-A0A974HE43-F1-model_v6,1.00,5.06e-40,1476,2221
392,AF-A0A9P1CHE5-F1-model_v6,1.00,6.53e-23,1869,2521
393,AF-A0A7F8QAV2-F1-model_v6,1.00,1.06e-44,1853,2521
394,AF-A0A3Q2E540-F1-model_v6,1.00,3.41e-58,1653,2521
395,AF-A0A7R8ZB90-F1-model_v6,1.00,5.65e-29,404,1065
396,AF-A0A914W9E5-F1-model_v6,1.00,6.84e-18,714,1311
397,AF-A0AAV2HH44-F1-model_v6,1.00,6.52e-35,1,715
398,AF-A0A1I8IZC9-F1-model_v6,1.00,8.81e-13,321,803
399,AF-A0A1Z5LH12-F1-model_v6,1.00,1.26e-46,1848,2521
400,AF-A0ABD2QNI6-F1-model_v6,1.00,2.44e-39,1868,2520
401,AF-G0PEK7-F1-model_v6,1.00,5.83e-39,1851,2521
402,AF-A0A8K0K6C6-F1-model_v6,1.00,9.32e-24,1611,2292
403,AF-A0A822ATN0-F1-model_v6,1.00,1.71e-19,1058,1817
404,AF-A0A7S1QMS3-F1-model_v6,1.00,4.83e-19,1950,2520
405,AF-A0A914Y1Z1-F1-model_v6,1.00,1.44e-17,1434,2057
406,AF-A0AA88LJ86-F1-model_v6,1.00,7.76e-25,103,803
407,AF-A0A556VCH7-F1-model_v6,1.00,1.77e-22,15,1147
408,AF-A0A158QWY7-F1-model_v6,1.00,8.21e-17,3,747
409,AF-A0A1B0CLH2-F1-model_v6,1.00,1.68e-44,1865,2521
410,AF-A0A0Q9WFA2-F1-model_v6,1.00,6.26e-35,1988,2520
411,AF-A7RMM3-F1-model_v6,1.00,6.68e-17,1410,2248
412,AF-K1RGF7-F1-model_v6,1.00,6.31e-25,1,569
413,AF-A0A2P4SQD4-F1-model_v6,1.00,3.73e-48,23,687
414,AF-A0A183H0E9-F1-model_v6,1.00,1.90e-25,1631,2520
415,AF-A0A6A4LSQ3-F1-model_v6,1.00,1.38e-3,5,811
416,AF-A0AAJ8B0T9-F1-model_v6,1.00,1.64e-43,144,806
417,AF-A0A183DPV4-F1-model_v6,1.00,9.69e-17,1,560
418,AF-A0A8R1DPN1-F1-model_v6,1.00,1.50e-17,1,676
419,AF-G0R6D7-F1-model_v6,1.00,3.79e-21,1945,2519
420,AF-A0A087UY53-F1-model_v6,1.00,2.09e-17,1030,1707
421,AF-G3N9E4-F1-model_v6,1.00,3.20e-45,807,1459
422,AF-A0A5C6PHQ5-F1-model_v6,1.00,1.56e-22,1366,1998
423,AF-A0A5N4CHM3-F1-model_v6,1.00,1.41e-23,268,829
424,AF-A0AAE9A6J5-F1-model_v6,1.00,2.62e-16,1,569
425,AF-A0AAV1A2G6-F1-model_v6,1.00,6.24e-9,7,776
426,AF-A0A653DHF1-F1-model_v6,1.00,3.28e-34,1904,2520
427,AF-A0A1I8EJ69-F1-model_v6,1.00,9.10e-23,1324,2117
428,AF-A0A0G4ILN4-F1-model_v6,1.00,1.42e-25,1926,2521
429,AF-A0A9P0E2U6-F1-model_v6,1.00,3.88e-22,54,778
430,AF-V5I8F8-F1-model_v6,1.00,7.45e-25,2,659
431,AF-A0AAR2KWH7-F1-model_v6,1.00,1.56e-53,1809,2521
432,AF-A0A091DNK6-F1-model_v6,1.00,3.17e-36,22,560
433,AF-A0A8B9HS83-F1-model_v6,1.00,2.99e-56,1894,2521
434,AF-A0A0N5DC76-F1-model_v6,1.00,7.11e-11,1031,1804
435,AF-A0A1V4J962-F1-model_v6,1.00,6.62e-27,1,543
436,AF-A0A1R2CWL8-F1-model_v6,1.00,8.18e-22,1983,2519
437,AF-A0A915NIH3-F1-model_v6,1.00,1.12e-17,796,1396
438,AF-A0A8C3K900-F1-model_v6,1.00,1.79e-33,1935,2332
439,AF-A0A1A8QVW0-F1-model_v6,1.00,1.49e-39,1741,2509
440,AF-A0A0C2GSY1-F1-model_v6,1.00,6.05e-25,676,1323
441,AF-A0A7S0D1J4-F1-model_v6,1.00,9.00e-26,1938,2520
442,AF-A0A6B2G036-F1-model_v6,1.00,2.96e-9,1165,2051
443,AF-A0A9J2P616-F1-model_v6,1.00,1.69e-15,5,526
444,AF-A0A8D8SEV2-F1-model_v6,1.00,2.49e-45,1937,2519
445,AF-A0A8S2EQE7-F1-model_v6,1.00,3.63e-21,2,658
446,AF-A0A2G8LNW3-F1-model_v6,1.00,1.29e-28,754,1382
447,AF-H3H5Q4-F1-model_v6,1.00,5.79e-18,2004,2519
448,AF-A0A821YIX7-F1-model_v6,1.00,1.61e-39,1905,2521
449,AF-A0A973YGQ3-F1-model_v6,1.00,5.51e-47,1652,2251
450,AF-A0A6I9MWS8-F1-model_v6,1.00,4.10e-26,2062,2521
451,AF-A0AAV2LVL7-F1-model_v6,1.00,9.40e-14,335,717
452,AF-A0A6F9CMR8-F1-model_v6,1.00,8.43e-44,738,1352
453,AF-A0ABD1KS39-F1-model_v6,1.00,9.43e-40,1851,2521
454,AF-A0A3S1BPS2-F1-model_v6,1.00,1.92e-22,1,572
455,AF-A0A7R9B0Y0-F1-model_v6,1.00,4.53e-25,1623,2521
456,AF-A0A8S3Z5V8-F1-model_v6,1.00,9.67e-29,782,1442
457,AF-A0A8K0GGP8-F1-model_v6,1.00,8.71e-16,1012,1565
458,AF-T1F269-F1-model_v6,1.00,1.25e-23,66,712
459,AF-A0A158QJ81-F1-model_v6,1.00,1.64e-12,114,572
460,AF-A0A8X7YH43-F1-model_v6,1.00,3.13e-13,2014,2520
461,AF-F6X7Y7-F1-model_v6,1.00,7.12e-49,1927,2520
462,AF-A0A813JU87-F1-model_v6,1.00,6.56e-18,2027,2521
463,AF-A0A7S4UU07-F1-model_v6,1.00,8.56e-17,1983,2521
464,AF-A0A820W1M7-F1-model_v6,1.00,4.55e-20,82,714
465,AF-A0A6S7J1J6-F1-model_v6,1.00,5.50e-21,234,889
466,AF-A0A1V9Y3U5-F1-model_v6,1.00,1.63e-17,96,610
467,AF-A0A484KVJ1-F1-model_v6,1.00,1.81e-23,1957,2520
468,AF-A0AB34GI10-F1-model_v6,1.00,3.83e-18,623,1337
469,AF-A0AAF3J481-F1-model_v6,1.00,7.22e-41,1938,2520
470,AF-A0A6V7WRF5-F1-model_v6,1.00,1.97e-18,148,715
471,AF-A0A4Y2IWL4-F1-model_v6,1.00,4.33e-11,1346,2022
472,AF-C3ZZL8-F1-model_v6,1.00,2.80e-43,1935,2521
473,AF-A0A2J8RFQ9-F1-model_v6,1.00,2.06e-37,871,1453
474,AF-A0A060WXK8-F1-model_v6,1.00,1.02e-32,623,1157
475,AF-A0A812NIS7-F1-model_v6,1.00,3.05e-12,2027,2520
476,AF-A0A3R7KKV7-F1-model_v6,1.00,1.84e-22,2005,2519
477,AF-A0AA47MNW2-F1-model_v6,1.00,1.18e-38,1830,2348
478,AF-A0A443S1R6-F1-model_v6,1.00,3.29e-29,1628,2262
479,AF-A0A6A4QPP6-F1-model_v6,1.00,2.24e-6,66,737
480,AF-A0A6V7VKY9-F1-model_v6,1.00,1.73e-35,1973,2521
481,AF-A0A8S1DEM2-F1-model_v6,1.00,6.39e-10,2,703
482,AF-A0A7S3Z4R3-F1-model_v6,1.00,6.04e-18,1815,2412
483,AF-A0AAV6PCR6-F1-model_v6,1.00,1.57e-24,1503,2033
484,AF-A0A7R9L235-F1-model_v6,1.00,6.68e-17,369,995
485,AF-A7T173-F1-model_v6,1.00,4.72e-25,1897,2521
486,AF-A0AAV7ZLP2-F1-model_v6,1.00,6.27e-4,1,560
487,AF-A0A7S3BN79-F1-model_v6,1.00,1.15e-23,1970,2521
488,AF-A0A974HE50-F1-model_v6,1.00,6.64e-34,633,1151
489,AF-A0A8C2YS04-F1-model_v6,1.00,2.07e-20,61,558
490,AF-A0A9D4IDV1-F1-model_v6,1.00,5.95e-26,3,560
491,AF-A0AAD9NQ86-F1-model_v6,1.00,1.91e-39,1965,2521
492,AF-A0AAV8VBX7-F1-model_v6,1.00,1.57e-24,2100,2521
493,AF-A0A835U5U2-F1-model_v6,1.00,4.83e-7,7,661
494,AF-A0A8S3Z0Q3-F1-model_v6,1.00,3.59e-36,1663,2326
495,AF-A0A0L0FU33-F1-model_v6,1.00,1.54e-30,2001,2518
496,AF-A0A8S4BXM3-F1-model_v6,1.00,1.86e-38,1777,2309
497,AF-A0A0R1E8N1-F1-model_v6,1.00,2.70e-19,620,1323
498,MGYP001428331725,1.00,1.62e-8,386,1029
499,AF-A0A8C4RYS8-F1-model_v6,1.00,1.65e-52,1961,2521
500,AF-A0A0D8XPP7-F1-model_v6,1.00,3.46e-19,849,1372
501,AF-A0A8S4DJ59-F1-model_v6,1.00,1.39e-24,2088,2521
502,AF-A0A183AS46-F1-model_v6,1.00,1.16e-8,292,665
503,AF-A0A817H2W5-F1-model_v6,1.00,9.61e-27,1685,2329
504,AF-A0AAD7SQN5-F1-model_v6,1.00,3.88e-22,1143,1632
505,AF-A0AAZ3QBH6-F1-model_v6,1.00,4.37e-39,779,1300
506,AF-A0A8B9Q8Q4-F1-model_v6,1.00,6.28e-30,2158,2431
507,AF-A0A183I937-F1-model_v6,1.00,1.74e-18,108,665
508,AF-A0A7S4EXY0-F1-model_v6,1.00,4.86e-21,2025,2520
509,AF-A0A669F8I7-F1-model_v6,1.00,2.36e-53,1927,2519
510,AF-A0A6B2L0Y6-F1-model_v6,1.00,1.18e-26,1958,2519
511,AF-A0A6P4ED45-F1-model_v6,1.00,1.18e-12,26,468
512,AF-A0A2J7R0H6-F1-model_v6,1.00,4.29e-40,2007,2521
513,AF-A0A8S3YUI8-F1-model_v6,1.00,2.39e-19,56,558
514,AF-A0A0L7KV50-F1-model_v6,1.00,5.45e-12,998,1641
515,AF-A0A914XE30-F1-model_v6,1.00,8.00e-28,1703,2292
516,AF-D2I3S8-F1-model_v6,1.00,1.40e-40,20,560
517,AF-A0A177AQG0-F1-model_v6,1.00,2.48e-24,1832,2372
518,AF-A0A183JCV8-F1-model_v6,1.00,1.44e-22,2122,2520
519,AF-A0A8B9NCQ2-F1-model_v6,1.00,7.41e-30,2127,2431
520,AF-F6R5V5-F1-model_v6,1.00,1.72e-33,2015,2519
521,AF-A0A9D4NVW3-F1-model_v6,1.00,1.47e-11,3,408
522,AF-V8PBC7-F1-model_v6,1.00,4.19e-39,1926,2521
523,AF-A0A8J8P6A3-F1-model_v6,1.00,5.60e-20,2028,2519
524,AF-A0ABD2QRI7-F1-model_v6,1.00,3.59e-17,940,1515
525,AF-A0A368GKK6-F1-model_v6,1.00,6.00e-16,3,541
526,AF-A0A9N9QVJ7-F1-model_v6,1.00,1.89e-18,1,542
527,AF-A0A368GPS0-F1-model_v6,1.00,3.89e-29,2037,2521
528,AF-A0AAD6AEM4-F1-model_v6,1.00,1.86e-12,19,500
529,AF-A0A915APT4-F1-model_v6,1.00,9.22e-8,1143,1802
530,AF-A0A914XSB9-F1-model_v6,1.00,1.80e-16,1,476
531,AF-A0A556V194-F1-model_v6,1.00,4.49e-16,1,435
532,AF-A0A3Q1GE93-F1-model_v6,1.00,1.35e-40,1933,2520
533,AF-A0A914YQC1-F1-model_v6,1.00,1.91e-20,772,1297
534,AF-A0AAV2LVK2-F1-model_v6,1.00,1.02e-6,725,997
535,AF-A0A821TR04-F1-model_v6,1.00,3.11e-18,2,542
536,AF-A0A3P7FGZ1-F1-model_v6,1.00,2.89e-18,1,542
537,AF-A0ABD2QNM9-F1-model_v6,1.00,1.55e-13,312,708
538,AF-A0A8C0UDY1-F1-model_v6,1.00,8.60e-31,875,1265
539,AF-A0A1W7R470-F1-model_v6,1.00,4.29e-21,1,542
540,AF-A0A9Q0WY45-F1-model_v6,1.00,4.64e-7,1704,2182
541,AF-E4WT37-F1-model_v6,1.00,3.89e-29,2012,2472
542,AF-A0AAR5QG10-F1-model_v6,1.00,2.34e-20,390,887
543,AF-A0A077ZB03-F1-model_v6,1.00,2.77e-18,7,531
544,AF-A0A0M3J501-F1-model_v6,1.00,3.97e-23,1734,2266
545,AF-A0A818XBF7-F1-model_v6,1.00,8.16e-34,2039,2520
546,AF-A0A158QRC0-F1-model_v6,1.00,1.48e-25,1983,2521
547,AF-A0A7S3YVE3-F1-model_v6,1.00,1.75e-20,1928,2431
548,AF-A0A151P375-F1-model_v6,1.00,3.37e-42,612,1100
549,AF-N6SRF8-F1-model_v6,1.00,3.15e-15,387,792
550,AF-A0A8K0NYF1-F1-model_v6,1.00,4.07e-24,1742,2292
551,AF-A0A7I8V5E3-F1-model_v6,1.00,3.65e-16,66,572
552,AF-H2YLN4-F1-model_v6,1.00,1.09e-28,1946,2521
553,AF-A0A7S1LF86-F1-model_v6,1.00,9.86e-16,1986,2452
554,AF-A0A8S4DI04-F1-model_v6,1.00,2.07e-13,1532,2055
555,AF-A0A9P3N0G7-F1-model_v6,1.00,6.42e-5,1958,2250
556,AF-A0A7R8ZE57-F1-model_v6,1.00,5.25e-7,1101,1633
557,AF-S8E9K8-F1-model_v6,1.00,2.74e-4,26,572
558,AF-A0A091QG68-F1-model_v6,1.00,2.46e-41,1652,2220
559,AF-A0A9Q1DAC4-F1-model_v6,1.00,3.72e-34,2111,2521
560,AF-A0A0J7N2Y3-F1-model_v6,1.00,7.07e-28,1965,2521
561,AF-A0A4W5L8E6-F1-model_v6,1.00,8.51e-34,1926,2432
562,AF-A0A8C5T3N5-F1-model_v6,1.00,8.69e-28,2160,2437
563,AF-A0A6F9BY74-F1-model_v6,1.00,2.07e-27,546,997
564,AF-A0A6A7FSW2-F1-model_v6,1.00,1.44e-24,2010,2521
565,AF-A0A2Y9GZJ7-F1-model_v6,1.00,2.96e-28,23,433
566,AF-A0A3B4BM33-F1-model_v6,1.00,7.76e-25,870,1265
567,AF-A0A7F8RLG2-F1-model_v6,1.00,2.12e-21,414,829
568,AF-A0A0M3KAN0-F1-model_v6,1.00,6.93e-22,755,1262
569,AF-A0A0A1U3K3-F1-model_v6,1.00,7.95e-26,2015,2520
570,AF-A0A7R9GZC7-F1-model_v6,1.00,1.59e-16,7,522
571,AF-A0A2K6L5A3-F1-model_v6,1.00,3.77e-26,1830,2308
572,AF-A0A819ZWP4-F1-model_v6,1.00,1.80e-16,679,1170
573,AF-U4UL03-F1-model_v6,1.00,1.03e-15,54,542
574,AF-A0AAD3NN43-F1-model_v6,1.00,1.45e-7,286,615
575,AF-A0A7S1NMK7-F1-model_v6,1.00,2.33e-6,1856,2281
576,AF-A0A7J7JRQ0-F1-model_v6,1.00,5.05e-33,2052,2521
577,AF-A0A3B5M9M3-F1-model_v6,1.00,2.76e-25,878,1265
578,AF-A0AAV2AQ35-F1-model_v6,1.00,1.13e-12,3,418
579,AF-A0A1I8B460-F1-model_v6,1.00,5.99e-9,148,715
580,AF-A0A6G1QMZ4-F1-model_v6,1.00,4.68e-16,1,551
581,AF-A0A8D8RSR5-F1-model_v6,1.00,9.61e-8,1344,1860
582,AF-A0A2G9S9H0-F1-model_v6,1.00,3.51e-42,2056,2520
583,AF-A0A3M7SW70-F1-model_v6,1.00,8.05e-11,1,423
584,AF-A0A913WTW8-F1-model_v6,1.00,6.68e-17,465,929
585,AF-A0A8B6XM53-F1-model_v6,1.00,8.50e-15,976,1518
586,AF-A0A1S3QV87-F1-model_v6,1.00,6.81e-42,2056,2521
587,AF-A0A3B5MWP0-F1-model_v6,1.00,6.37e-34,1926,2438
588,AF-A0A0A9WQR3-F1-model_v6,1.00,1.30e-23,1747,2275
589,AF-A0A8S3YZ24-F1-model_v6,1.00,5.15e-20,755,1212
590,AF-A0A6H5HQ23-F1-model_v6,1.00,2.27e-17,207,663
591,AF-A0AAW0PHZ7-F1-model_v6,1.00,2.90e-3,42,432
592,AF-A0A914WB89-F1-model_v6,1.00,8.81e-13,5,473
593,AF-A0A8B9S359-F1-model_v6,1.00,2.28e-24,834,1310
594,AF-A0AA88LES4-F1-model_v6,1.00,3.29e-10,451,887
595,AF-A0A6V2RNV9-F1-model_v6,1.00,1.17e-17,2086,2520
596,AF-A0A6B0SBU8-F1-model_v6,1.00,8.58e-24,566,1034
597,AF-A0A9L0IGU7-F1-model_v6,1.00,8.02e-35,2159,2437
598,AF-A0A3Q2YRV2-F1-model_v6,1.00,2.77e-20,860,1280
599,AF-A0AAV2LVL5-F1-model_v6,1.00,4.56e-8,78,406
600,AF-A0AAW0NQ38-F1-model_v6,1.00,2.65e-20,144,577
601,AF-A0A0C2G3H6-F1-model_v6,1.00,2.11e-7,233,570
602,AF-A0A668U3Y2-F1-model_v6,1.00,3.51e-23,899,1265
603,AF-A0A7S4UEG2-F1-model_v6,1.00,8.54e-10,1626,2126
604,AF-A0A3B3S2L7-F1-model_v6,1.00,3.07e-26,2137,2437
605,AF-A0A2K3PAI8-F1-model_v6,1.00,1.24e-2,228,737
606,AF-A0A3Q1EIG3-F1-model_v6,1.00,9.78e-26,870,1352
607,MGYP001059347393,1.00,1.18e-5,414,875
608,AF-A0A3B3CX11-F1-model_v6,1.00,2.08e-34,870,1265
609,AF-A0ABD1CJG4-F1-model_v6,1.00,1.37e-8,1,344
610,AF-A0A4U5LX43-F1-model_v6,1.00,5.34e-6,44,405
611,AF-A0A0N4U6X7-F1-model_v6,1.00,3.53e-9,65,519
612,AF-A0A060X1F1-F1-model_v6,1.00,1.68e-39,2096,2520
613,AF-A0AB34GG41-F1-model_v6,1.00,2.10e-5,20,418
614,AF-A0A8D9F216-F1-model_v6,1.00,6.42e-5,1444,1811
615,AF-A0A7S1YB79-F1-model_v6,1.00,5.93e-19,2090,2520
616,AF-A0A9D5AW82-F1-model_v6,1.00,1.89e-4,20,553
617,AF-L8I5C6-F1-model_v6,1.00,4.78e-10,211,544
618,AF-A0ABC9HFG2-F1-model_v6,1.00,9.18e-13,2195,2520
619,AF-A0A0Q5U704-F1-model_v6,1.00,8.62e-19,1939,2414
620,AF-A0AA36MTU3-F1-model_v6,0.01,0.370,2103,2521
621,AF-A0A5E4QNF1-F1-model_v6,1.00,2.76e-13,1061,1516
622,AF-L8Y928-F1-model_v6,1.00,1.76e-8,126,495
623,AF-Q4S7Z5-F1-model_v6,1.00,4.76e-15,1,433
624,AF-A0A0M3KC92-F1-model_v6,1.00,1.09e-28,2038,2464
625,AF-A0A9Q9XTT8-F1-model_v6,1.00,1.18e-14,1,334
626,AF-A0A8C9Q8C8-F1-model_v6,1.00,2.13e-23,871,1232
627,AF-A0A6G1S433-F1-model_v6,1.00,3.13e-39,1963,2404
628,AF-A0A817LRA3-F1-model_v6,1.00,2.58e-24,1988,2415
629,AF-A0A915PF84-F1-model_v6,1.00,6.10e-15,2065,2520
630,AF-A0A835TXX3-F1-model_v6,1.00,4.02e-8,129,433
631,AF-A0A6A5DPM4-F1-model_v6,1.00,1.55e-13,1,395
632,AF-A0A4U5LX63-F1-model_v6,1.00,2.18e-10,1,407
633,AF-A0A1A9VXU8-F1-model_v6,1.00,5.15e-20,2070,2487
634,AF-A0A8C7ARI8-F1-model_v6,1.00,1.03e-34,2158,2431
635,AF-A0A8C6UCF1-F1-model_v6,1.00,8.58e-24,884,1307
636,AF-A0A5N5SNQ7-F1-model_v6,1.00,5.56e-18,1835,2270
637,AF-A0A7S3N1S7-F1-model_v6,1.00,3.90e-17,2060,2481
638,AF-A0A7S1EWR7-F1-model_v6,1.00,3.54e-13,2127,2517
639,MGYP000926044221,1.00,3.35e-2,558,957
640,AF-A0A1B6J0B9-F1-model_v6,1.00,2.71e-14,1,442
641,AF-A0A8D8WBM7-F1-model_v6,1.00,2.11e-7,1351,1847
642,AF-A0A8C9G456-F1-model_v6,1.00,1.31e-32,870,1236
643,AF-A0A1B6EJ04-F1-model_v6,1.00,5.00e-17,335,733
644,AF-L7MCG5-F1-model_v6,0.01,0.409,1,498
645,AF-A0A914YPY7-F1-model_v6,1.00,1.03e-29,2111,2521
646,AF-A0A6J2Y580-F1-model_v6,1.00,4.74e-20,1965,2360
647,AF-A0A822F568-F1-model_v6,1.00,4.54e-13,617,1065
648,AF-A0AAN8LAW1-F1-model_v6,1.00,1.36e-11,1484,1988
649,AF-A0A2G9R5J2-F1-model_v6,1.00,6.35e-27,1582,2134
650,AF-A0A8C0HRZ2-F1-model_v6,1.00,1.25e-23,870,1272
651,AF-A0A8E0RQW4-F1-model_v6,1.00,1.73e-4,335,712
652,MGYP001084979679,1.00,2.33e-4,406,723
653,AF-A0A8C1V2T1-F1-model_v6,1.00,8.36e-35,870,1271
654,AF-A0A8C9S4R7-F1-model_v6,1.00,3.75e-24,870,1263
655,AF-A0ABD6EWQ7-F1-model_v6,1.00,3.29e-10,1,363
656,AF-A0AAV6G8Z4-F1-model_v6,1.00,4.42e-24,1,403
657,AF-A0AAD9PAY0-F1-model_v6,1.00,7.28e-12,1336,1800
658,AF-A0A2I3H504-F1-model_v6,1.00,8.21e-36,2148,2459
659,AF-A0A3B1KH08-F1-model_v6,1.00,4.45e-26,2137,2431
660,AF-A0A4P9YBK6-F1-model_v6,1.00,7.85e-22,2066,2482
661,AF-A0A671FE17-F1-model_v6,1.00,1.03e-34,2159,2431
662,AF-A0A1Y3AZX3-F1-model_v6,1.00,1.84e-15,719,1116
663,AF-A0AAN9AFM6-F1-model_v6,1.00,9.57e-13,335,676
664,AF-A0A2G9P7X7-F1-model_v6,1.00,4.03e-27,830,1202
665,AF-A0A9Q9XTV9-F1-model_v6,1.00,3.09e-35,2123,2521
666,AF-A0A9Q1J915-F1-model_v6,1.00,5.23e-12,253,608
667,AF-A0A1B6H8Z1-F1-model_v6,1.00,1.12e-15,636,1069
668,AF-A0A212CB16-F1-model_v6,1.00,3.69e-13,1058,1401
669,AF-A0A6P8IR92-F1-model_v6,1.00,3.78e-14,1,425
670,AF-A0A182SNB2-F1-model_v6,1.00,7.97e-14,815,1212
671,AF-A0A6G1RKJ9-F1-model_v6,1.00,9.02e-14,1558,1967
672,AF-A0AAD3NHI1-F1-model_v6,1.00,4.56e-27,1919,2519
673,AF-A0A8S2TM37-F1-model_v6,1.00,3.59e-24,1985,2375
674,AF-G9L1K2-F1-model_v6,1.00,5.03e-38,985,1387
675,AF-A0A8C5QND5-F1-model_v6,1.00,2.28e-24,904,1264
676,AF-A0A673AB28-F1-model_v6,1.00,1.46e-21,882,1271
677,AF-A0AAV4T2Y5-F1-model_v6,1.00,2.10e-12,615,992
678,AF-A0A132A559-F1-model_v6,0.01,0.404,1,494
679,AF-A0A3P9HVJ2-F1-model_v6,1.00,6.39e-29,2115,2426
680,AF-A0A8T0DFV0-F1-model_v6,1.00,1.57e-12,5,340
681,AF-A0A6P8KEP4-F1-model_v6,1.00,5.57e-6,22,356
682,AF-A0A493SW24-F1-model_v6,1.00,8.04e-23,2152,2431
683,AF-A0A1D6MTE1-F1-model_v6,1.00,6.42e-5,1941,2182
684,AF-A0A2D4GX56-F1-model_v6,1.00,2.35e-15,1581,1969
685,AF-A0A9Q9XTU3-F1-model_v6,1.00,2.20e-26,1690,2108
686,AF-A0A3P7D5Q0-F1-model_v6,1.00,2.26e-15,933,1322
687,AF-A0A8B8GK71-F1-model_v6,1.00,9.86e-16,2122,2486
688,AF-A0A8D3AW86-F1-model_v6,1.00,3.37e-11,2089,2373
689,AF-E4Z1J3-F1-model_v6,1.00,5.69e-19,2188,2521
690,AF-C3ZYD6-F1-model_v6,1.00,6.04e-18,870,1265
691,AF-A0A340Y7Z5-F1-model_v6,1.00,5.81e-25,26,387
692,AF-A0A5S6Q588-F1-model_v6,1.00,1.19e-9,7,334
693,AF-A0A7S0GZM8-F1-model_v6,1.00,9.32e-5,7,332
694,AF-G3NS76-F1-model_v6,1.00,1.06e-6,129,434
695,AF-A0A4Y2T832-F1-model_v6,1.00,1.59e-16,1002,1393
696,AF-A0A452S1I9-F1-model_v6,1.00,6.15e-36,2100,2437
697,AF-A0A8C4Q810-F1-model_v6,1.00,5.52e-16,928,1272
698,AF-A0A9P0DL10-F1-model_v6,1.00,1.66e-16,2180,2521
699,AF-A0A0B7AES0-F1-model_v6,1.00,1.20e-11,337,669
700,AF-A0A182SZF9-F1-model_v6,1.00,2.36e-22,2180,2521
701,AF-A0A9N9MID0-F1-model_v6,1.00,1.54e-6,1080,1475
702,AF-A0A2I0LGP8-F1-model_v6,1.00,9.51e-30,2007,2521
703,AF-A0A8K0GG67-F1-model_v6,1.00,2.10e-12,1,389
704,AF-A0A183J8J1-F1-model_v6,1.00,1.79e-7,1344,1800
705,AF-A0A0M3IZK1-F1-model_v6,1.00,2.67e-22,1955,2310
706,AF-A0A3P6TBY3-F1-model_v6,1.00,8.00e-9,438,708
707,AF-A0A4Y2N4B1-F1-model_v6,1.00,1.68e-6,45,334
708,AF-A0A0B1TC86-F1-model_v6,1.00,1.15e-6,56,339
709,AF-A0AAF3EXU4-F1-model_v6,1.00,9.73e-12,407,706
710,AF-A7RMM5-F1-model_v6,1.00,2.51e-16,952,1322
711,AF-D8M022-F1-model_v6,1.00,2.42e-11,2111,2434
712,AF-A0A9Q0BKV6-F1-model_v6,0.01,0.439,1,409
713,MGYP001808524315,0.98,4.20e-1,409,708
714,AF-A0A182G145-F1-model_v6,0.00,0.315,169,664
