,orginalPDB,daliPDB
450,AF-A0A9N9MID0-F1-model_v6.pdb,aams
451,AF-A0A9N9QVJ7-F1-model_v6.pdb,aamt
452,AF-A0A9P0E2U6-F1-model_v6.pdb,aamu
453,AF-A0A9P0GMA9-F1-model_v6.pdb,aamv
454,AF-A0A9P0KR01-F1-model_v6.pdb,aamw
455,AF-A0A9P0M3N9-F1-model_v6.pdb,aamx
456,AF-A0A9P0P8I7-F1-model_v6.pdb,aamy
457,AF-A0A9P0Q444-F1-model_v6.pdb,aamz
458,AF-A0A9P3JI08-F1-model_v6.pdb,aam0
459,AF-A0A9P9YDH9-F1-model_v6.pdb,aam1
460,AF-A0A9Q0BKV6-F1-model_v6.pdb,aam2
461,AF-A0A9Q0DTG6-F1-model_v6.pdb,aam3
462,AF-A0A9Q0IW25-F1-model_v6.pdb,aam4
463,AF-A0A9Q1J7Z8-F1-model_v6.pdb,aam5
464,AF-A0A9Q1J915-F1-model_v6.pdb,aam6
465,AF-A0A9Q1JA68-F1-model_v6.pdb,aam7
466,AF-A0A9Q9XTP2-F1-model_v6.pdb,aam8
467,AF-A0A9Q9XTT8-F1-model_v6.pdb,aam9
468,AF-A0A9Y4NNJ4-F1-model_v6.pdb,aana
469,AF-A0AA35RM69-F1-model_v6.pdb,aanb
470,AF-A0AA36C590-F1-model_v6.pdb,aanc
471,AF-A0AA36CH18-F1-model_v6.pdb,aand
472,AF-A0AA38LDH7-F1-model_v6.pdb,aane
473,AF-A0AA86VTX4-F1-model_v6.pdb,aanf
474,AF-A0AA88LES4-F1-model_v6.pdb,aang
475,AF-A0AA88LJ86-F1-model_v6.pdb,aanh
476,AF-A0AAD3M1G6-F1-model_v6.pdb,aani
477,AF-A0AAD3N4L6-F1-model_v6.pdb,aanj
478,AF-A0AAD3NN43-F1-model_v6.pdb,aank
479,AF-A0AAD3R0R7-F1-model_v6.pdb,aanl
480,AF-A0AAD4YFY2-F1-model_v6.pdb,aanm
481,AF-A0AAD5RB83-F1-model_v6.pdb,aann
482,AF-A0AAD6AEM4-F1-model_v6.pdb,aano
483,AF-A0AAD6NPW5-F1-model_v6.pdb,aanp
484,AF-A0AAD6NQV9-F1-model_v6.pdb,aanq
485,AF-A0AAD7R7M0-F1-model_v6.pdb,aanr
486,AF-A0AAD7R7T5-F1-model_v6.pdb,aans
487,AF-A0AAD7SQN5-F1-model_v6.pdb,aant
488,AF-A0AAD7TBA8-F1-model_v6.pdb,aanu
489,AF-A0AAD7ZDX6-F1-model_v6.pdb,aanv
490,AF-A0AAD9BN81-F1-model_v6.pdb,aanw
491,AF-A0AAD9CQD2-F1-model_v6.pdb,aanx
492,AF-A0AAD9NNZ4-F1-model_v6.pdb,aany
493,AF-A0AAE9A6J5-F1-model_v6.pdb,aanz
494,AF-A0AAE9ADI6-F1-model_v6.pdb,aan0
495,AF-A0AAF3EM81-F1-model_v6.pdb,aan1
496,AF-A0AAF3EMF3-F1-model_v6.pdb,aan2
497,AF-A0AAF3EXU4-F1-model_v6.pdb,aan3
498,AF-A0AAF3J5Y6-F1-model_v6.pdb,aan4
499,AF-A0AAF5DN64-F1-model_v6.pdb,aan5
500,AF-A0AAJ8B0T9-F1-model_v6.pdb,aan6
501,AF-A0AAN0K146-F1-model_v6.pdb,aan7
502,AF-A0AAN8F2L5-F1-model_v6.pdb,aan8
503,AF-A0AAN8FDY5-F1-model_v6.pdb,aan9
504,AF-A0AAN8IK24-F1-model_v6.pdb,aaoa
505,AF-A0AAN8XL29-F1-model_v6.pdb,aaob
506,AF-A0AAN9AFM6-F1-model_v6.pdb,aaoc
507,AF-A0AAR5PES9-F1-model_v6.pdb,aaod
508,AF-A0AAR5PFA7-F1-model_v6.pdb,aaoe
509,AF-A0AAR5PG41-F1-model_v6.pdb,aaof
510,AF-A0AAR5PH95-F1-model_v6.pdb,aaog
511,AF-A0AAR5QG10-F1-model_v6.pdb,aaoh
512,AF-A0AAV0R027-F1-model_v6.pdb,aaoi
513,AF-A0AAV0R1C0-F1-model_v6.pdb,aaoj
514,AF-A0AAV1A2G6-F1-model_v6.pdb,aaok
515,AF-A0AAV1Q4S4-F1-model_v6.pdb,aaol
516,AF-A0AAV2APG7-F1-model_v6.pdb,aaom
517,AF-A0AAV2AQ35-F1-model_v6.pdb,aaon
518,AF-A0AAV2HH44-F1-model_v6.pdb,aaoo
519,AF-A0AAV2LVK2-F1-model_v6.pdb,aaop
520,AF-A0AAV2LVL5-F1-model_v6.pdb,aaoq
521,AF-A0AAV2LVL7-F1-model_v6.pdb,aaor
522,AF-A0AAV4T1Y6-F1-model_v6.pdb,aaos
523,AF-A0AAV4T2C5-F1-model_v6.pdb,aaot
524,AF-A0AAV4T2Y5-F1-model_v6.pdb,aaou
525,AF-A0AAV6G8Z4-F1-model_v6.pdb,aaov
526,AF-A0AAV6VPB1-F1-model_v6.pdb,aaow
527,AF-A0AAV7GT08-F1-model_v6.pdb,aaox
528,AF-A0AAV7IMW3-F1-model_v6.pdb,aaoy
529,AF-A0AAV7Y8J7-F1-model_v6.pdb,aaoz
530,AF-A0AAV7ZLP2-F1-model_v6.pdb,aao0
531,AF-A0AAV8VC63-F1-model_v6.pdb,aao1
532,AF-A0AAV9R4T2-F1-model_v6.pdb,aao2
533,AF-A0AAV9R8A6-F1-model_v6.pdb,aao3
534,AF-A0AAW0IWY1-F1-model_v6.pdb,aao4
535,AF-A0AAW0NN53-F1-model_v6.pdb,aao5
536,AF-A0AAW0NQ38-F1-model_v6.pdb,aao6
537,AF-A0AAW0PHZ7-F1-model_v6.pdb,aao7
538,AF-A0AAZ3QBH6-F1-model_v6.pdb,aao8
539,AF-A0AB32U1Q1-F1-model_v6.pdb,aao9
540,AF-A0AB34GA82-F1-model_v6.pdb,aapa
541,AF-A0AB34GG41-F1-model_v6.pdb,aapb
542,AF-A0AB34GI10-F1-model_v6.pdb,aapc
543,AF-A0AB40DKU8-F1-model_v6.pdb,aapd
544,AF-A0ABD0WTF1-F1-model_v6.pdb,aape
545,AF-A0ABD0Y9M1-F1-model_v6.pdb,aapf
546,AF-A0ABD0Y9M7-F1-model_v6.pdb,aapg
547,AF-A0ABD1CJG4-F1-model_v6.pdb,aaph
548,AF-A0ABD1CZ18-F1-model_v6.pdb,aapi
549,AF-A0ABD2A566-F1-model_v6.pdb,aapj
550,AF-A0ABD2QNM9-F1-model_v6.pdb,aapk
551,AF-A0ABD2QRI7-F1-model_v6.pdb,aapl
552,AF-A0ABD2Z9J9-F1-model_v6.pdb,aapm
553,AF-A0ABD6EWQ7-F1-model_v6.pdb,aapn
554,AF-A2WQC6-F1-model_v6.pdb,aapo
555,AF-A5D7M8-F1-model_v6.pdb,aapp
556,AF-A7RMM5-F1-model_v6.pdb,aapq
557,AF-B7PSR6-F1-model_v6.pdb,aapr
558,AF-B7QI96-F1-model_v6.pdb,aaps
559,AF-C3ZYD6-F1-model_v6.pdb,aapt
560,AF-D2I3S8-F1-model_v6.pdb,aapu
561,AF-E2JF22-F1-model_v6.pdb,aapv
562,AF-E3NQL2-F1-model_v6.pdb,aapw
563,AF-E4YX63-F1-model_v6.pdb,aapx
564,AF-F4IN58-F1-model_v6.pdb,aapy
565,AF-G0NWW3-F1-model_v6.pdb,aapz
566,AF-G3N9E4-F1-model_v6.pdb,aap0
567,AF-G3NS76-F1-model_v6.pdb,aap1
568,AF-G3NS86-F1-model_v6.pdb,aap2
569,AF-G9L1K0-F1-model_v6.pdb,aap3
570,AF-G9L1K2-F1-model_v6.pdb,aap4
571,AF-H2Y1H0-F1-model_v6.pdb,aap5
572,AF-H2YLP9-F1-model_v6.pdb,aap6
573,AF-H3D0X4-F1-model_v6.pdb,aap7
574,AF-H3DBK4-F1-model_v6.pdb,aap8
575,AF-J9EW84-F1-model_v6.pdb,aap9
576,AF-K1RGF7-F1-model_v6.pdb,aaqa
577,AF-K7LGZ8-F1-model_v6.pdb,aaqb
578,AF-K7MZZ7-F1-model_v6.pdb,aaqc
579,AF-L7MCG5-F1-model_v6.pdb,aaqd
580,AF-L8I5C6-F1-model_v6.pdb,aaqe
581,AF-L8IRV3-F1-model_v6.pdb,aaqf
582,AF-L8Y928-F1-model_v6.pdb,aaqg
583,AF-M3TFI1-F1-model_v6.pdb,aaqh
584,AF-M4BPS5-F1-model_v6.pdb,aaqi
585,AF-M9MSG8-F1-model_v6.pdb,aaqj
586,AF-N6SRF8-F1-model_v6.pdb,aaqk
587,AF-N6TAG7-F1-model_v6.pdb,aaql
588,AF-Q4DXU9-F1-model_v6.pdb,aaqm
589,AF-Q4RWW2-F1-model_v6.pdb,aaqn
590,AF-Q4S7Z5-F1-model_v6.pdb,aaqo
591,AF-Q8CD54-2-F1-model_v6.pdb,aaqp
592,AF-Q8CD54-3-F1-model_v6.pdb,aaqq
593,AF-Q92508-F1-model_v6.pdb,aaqr
594,AF-Q9H5I5-2-F1-model_v6.pdb,aaqs
595,AF-S8E9K8-F1-model_v6.pdb,aaqt
596,AF-T1F269-F1-model_v6.pdb,aaqu
597,AF-T1JJ10-F1-model_v6.pdb,aaqv
598,AF-U4UL03-F1-model_v6.pdb,aaqw
599,AF-V3ZF50-F1-model_v6.pdb,aaqx
600,AF-V5I8F8-F1-model_v6.pdb,aaqy
601,AF-V9IK95-F1-model_v6.pdb,aaqz
602,AF-W6U812-F1-model_v6.pdb,aaq0
603,AF-X6M6V7-F1-model_v6.pdb,aaq1
604,AF-X6MX60-F1-model_v6.pdb,aaq2
605,MGYP000871480311.pdb,aaq3
606,MGYP000926044221.pdb,aaq4
607,MGYP000968413431.pdb,aaq5
608,MGYP001059347393.pdb,aaq6
609,MGYP001084979679.pdb,aaq7
610,MGYP001428331725.pdb,aaq8
611,MGYP002712517963.pdb,aaq9
612,MGYP003564757857.pdb,aara
613,MGYP003571918360.pdb,aarb
614,MGYP003588615151.pdb,aarc
615,MGYP003976619017.pdb,aard
616,MGYP004143766219.pdb,aare
