,region,tg,prob,eval,taxid,lineage,dbStartPos,dbEndPos,qStartPos,qEndPos
416,blade,AF-A0A914YQC1-F1-model_v6,1.0,2.32e-20,310955.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Nematoda;Chromadorea;Rhabditida;Tylenchina;Panagrolaimomorpha;Panagrolaimoidea;Panagrolaimidae;Panagrolaimus;Panagrolaimus superbus,1,524,772,1297
417,blade,AF-A0AAV2LVK2-F1-model_v6,1.0,2.41e-06,637954.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Actinopterygii;Actinopteri;Neopterygii;Teleostei;Osteoglossocephalai;Clupeocephala;Euteleosteomorpha;Neoteleostei;Eurypterygia;Ctenosquamata;Acanthomorphata;Euacanthomorphacea;Percomorphaceae;Gobiaria;Gobiiformes;Gobioidei;Gobiidae;Gobiinae;Knipowitschia;Knipowitschia caucasica,2,524,725,997
418,blade,AF-A0A821TR04-F1-model_v6,1.0,2.16e-17,2762511.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Spiralia;Gnathifera;Rotifera;Eurotatoria;Bdelloidea;Philodinida;Philodinidae;Rotaria;unclassified Rotaria;Rotaria sp. Silwood1,1,508,2,542
419,blade,AF-A0A3P7FGZ1-F1-model_v6,1.0,2.95e-17,6293.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Nematoda;Chromadorea;Rhabditida;Spirurina;Spiruromorpha;Filarioidea;Onchocercidae;Wuchereria;Wuchereria bancrofti,1,519,1,542
420,blade,AF-A0ABD2QNM9-F1-model_v6,1.0,6.92e-13,1844966.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Spiralia;Lophotrochozoa;Platyhelminthes;Monogenea;Monopisthocotylea;Dactylogyridea;Ancyrocephalidae;Cichlidogyrus;Cichlidogyrus casuarinus,25,503,312,708
421,blade,AF-A0A8C0UDY1-F1-model_v6,1.0,9.070000000000001e-31,156563.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Sauropsida;Sauria;Archelosauria;Archosauria;Dinosauria;Saurischia;Theropoda;Coelurosauria;Aves;Neognathae;Neoaves;Telluraves;Australaves;Passeriformes;Paridae;Cyanistes;Cyanistes caeruleus,40,437,875,1265
422,blade,AF-A0A1W7R470-F1-model_v6,1.0,3.89e-20,7160.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Endopterygota;Diptera;Nematocera;Culicomorpha;Culicoidea;Culicidae;Culicinae;Aedini;Aedes;Stegomyia;Aedes albopictus,1,509,1,542
423,blade,AF-A0AAR5QG10-F1-model_v6,1.0,1.01e-19,77166.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Endopterygota;Coleoptera;Polyphaga;Cucujiformia;Curculionoidea;Curculionidae;Scolytinae;Dendroctonus;Dendroctonus ponderosae,1,503,390,887
424,blade,AF-A0A077ZB03-F1-model_v6,1.0,1.83e-17,36087.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Nematoda;Enoplea;Dorylaimia;Trichinellida;Trichuridae;Trichuris;Trichuris trichiura,4,509,7,531
426,blade,AF-A0A151P375-F1-model_v6,1.0,1.08e-40,8496.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Sauropsida;Sauria;Archelosauria;Archosauria;Crocodylia;Alligatoridae;Alligatorinae;Alligator;Alligator mississippiensis,2,477,612,1100
427,blade,AF-N6SRF8-F1-model_v6,1.0,1.46e-15,77166.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Endopterygota;Coleoptera;Polyphaga;Cucujiformia;Curculionoidea;Curculionidae;Scolytinae;Dendroctonus;Dendroctonus ponderosae,1,442,387,792
428,blade,AF-A0A7I8V5E3-F1-model_v6,1.0,1.71e-15,2664684.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Spiralia;Lophotrochozoa;Annelida;Polychaeta;Polychaeta incertae sedis;Dinophilidae;Dimorphilus;Dimorphilus gyrociliatus,2,495,66,572
429,blade,AF-A0A7R8ZE57-F1-model_v6,1.0,0.000629,61478.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Polyneoptera;Phasmatodea;Timematodea;Timematoidea;Timematidae;Timema;Timema douglasi,40,286,1099,1304
430,blade,AF-S8E9K8-F1-model_v6,1.0,0.000516,192259.0,cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;eudicotyledons;Gunneridae;Pentapetalae;asterids;lamiids;Lamiales;Lentibulariaceae;Genlisea;Genlisea aurea,1,492,26,572
431,blade,AF-A0A6F9BY74-F1-model_v6,1.0,3.4e-26,861768.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Actinopterygii;Actinopteri;Neopterygii;Teleostei;Osteoglossocephalai;Clupeocephala;Euteleosteomorpha;Protacanthopterygii;Salmoniformes;Salmonidae;Coregoninae;Coregonus;unclassified Coregonus;Coregonus sp. 'balchen',1,493,546,997
432,blade,AF-A0A2Y9GZJ7-F1-model_v6,1.0,5.25e-27,29088.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Mammalia;Theria;Eutheria;Boreoeutheria;Laurasiatheria;Carnivora;Caniformia;Pinnipedia;Phocidae;Monachinae;Monachini;Neomonachus;Neomonachus schauinslandi,1,422,23,433
433,blade,AF-A0A3B4BM33-F1-model_v6,1.0,6.7e-25,409849.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Actinopterygii;Actinopteri;Neopterygii;Teleostei;Osteoglossocephalai;Clupeocephala;Euteleosteomorpha;Neoteleostei;Eurypterygia;Ctenosquamata;Acanthomorphata;Euacanthomorphacea;Percomorphaceae;Gobiaria;Gobiiformes;Gobioidei;Gobiidae;Oxudercinae;Periophthalmus;Periophthalmus magnuspinnatus,1,411,870,1280
434,blade,AF-A0A7F8RLG2-F1-model_v6,1.0,1.83e-20,9713.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Mammalia;Theria;Eutheria;Boreoeutheria;Laurasiatheria;Carnivora;Caniformia;Pinnipedia;Phocidae;Monachinae;Lobodontini;Leptonychotes;Leptonychotes weddellii,3,470,414,829
435,blade,AF-A0A0M3KAN0-F1-model_v6,1.0,4.5400000000000005e-22,6269.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Nematoda;Chromadorea;Rhabditida;Spirurina;Ascaridomorpha;Ascaridoidea;Anisakidae;Anisakis;Anisakis simplex complex;Anisakis simplex,8,485,755,1262
436,blade,AF-A0A7S1NIG2-F1-model_v6,1.0,0.00424,73025.0,cellular organisms;Eukaryota;Discoba;Euglenozoa;Euglenida;Spirocuta;Euglenophyceae;Eutreptiales;Eutreptiaceae;Eutreptiella;Eutreptiella gymnastica,49,484,1,438
437,blade,AF-A0A7R9GZC7-F1-model_v6,1.0,3.1e-16,170557.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Polyneoptera;Phasmatodea;Timematodea;Timematoidea;Timematidae;Timema;Timema poppense,3,489,7,522
438,blade,AF-A0A819ZWP4-F1-model_v6,1.0,4.44e-16,433720.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Spiralia;Gnathifera;Rotifera;Eurotatoria;Bdelloidea;Adinetida;Adinetidae;Adineta;Adineta steineri,2,483,679,1170
439,blade,AF-A0A0M3I8P1-F1-model_v6,1.0,1.22e-07,6252.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Nematoda;Chromadorea;Rhabditida;Spirurina;Ascaridomorpha;Ascaridoidea;Ascarididae;Ascaris;Ascaris lumbricoides,4,454,783,1304
440,blade,AF-U4UL03-F1-model_v6,1.0,5.65e-15,77166.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Endopterygota;Coleoptera;Polyphaga;Cucujiformia;Curculionoidea;Curculionidae;Scolytinae;Dendroctonus;Dendroctonus ponderosae,3,459,54,542
441,blade,AF-A0AAD3NN43-F1-model_v6,1.0,3.72e-07,270547.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Actinopterygii;Actinopteri;Neopterygii;Teleostei;Osteoglossocephalai;Clupeocephala;Euteleosteomorpha;Neoteleostei;Eurypterygia;Ctenosquamata;Acanthomorphata;Euacanthomorphacea;Percomorphaceae;Carangaria;Carangaria incertae sedis;Centropomidae;Lates;Lates japonicus,88,484,286,615
442,blade,AF-A0A3B5M9M3-F1-model_v6,1.0,5.72e-25,32473.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Actinopterygii;Actinopteri;Neopterygii;Teleostei;Osteoglossocephalai;Clupeocephala;Euteleosteomorpha;Neoteleostei;Eurypterygia;Ctenosquamata;Acanthomorphata;Euacanthomorphacea;Percomorphaceae;Ovalentaria;Atherinomorphae;Cyprinodontiformes;Cyprinodontoidei;Poeciliidae;Poeciliinae;Xiphophorus;Xiphophorus couchianus,7,397,878,1265
443,blade,AF-A0AAV2AQ35-F1-model_v6,1.0,4.67e-12,280406.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Chelicerata;Arachnida;Araneae;Araneomorphae;Entelegynae;Orbiculariae;Araneoidea;Araneidae;Larinioides;Larinioides sclopetarius,73,461,3,418
444,blade,AF-A0A1I8B460-F1-model_v6,1.0,1.75e-08,6305.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Nematoda;Chromadorea;Rhabditida;Tylenchina;Tylenchomorpha;Tylenchoidea;Meloidogynidae;Meloidogyninae;Meloidogyne;Meloidogyne hapla,1,464,148,715
445,blade,AF-A0A6G1QMZ4-F1-model_v6,1.0,2.65e-15,215402.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Actinopterygii;Actinopteri;Neopterygii;Teleostei;Osteoglossocephalai;Clupeocephala;Euteleosteomorpha;Neoteleostei;Eurypterygia;Ctenosquamata;Acanthomorphata;Euacanthomorphacea;Percomorphaceae;Anabantaria;Anabantiformes;Channoidei;Channidae;Channa;Channa argus,1,481,1,551
446,blade,AF-A0A3M7SW70-F1-model_v6,1.0,5.7e-11,10195.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Spiralia;Gnathifera;Rotifera;Eurotatoria;Monogononta;Pseudotrocha;Ploima;Brachionidae;Brachionus;Brachionus plicatilis,62,452,1,423
447,blade,AF-A0A183CAA2-F1-model_v6,1.0,5.34e-06,36090.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Nematoda;Chromadorea;Rhabditida;Tylenchina;Tylenchomorpha;Tylenchoidea;Heteroderidae;Heteroderinae;Globodera;Globodera pallida,17,478,229,733
448,blade,AF-A0A913WTW8-F1-model_v6,1.0,1.24e-16,2652724.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Cnidaria;Anthozoa;Hexacorallia;Actiniaria;Aiptasiidae;Exaiptasia;Exaiptasia diaphana,2,476,465,929
449,blade,AF-A0A8B6XM53-F1-model_v6,1.0,1.87e-12,6087.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Cnidaria;Hydrozoa;Hydroidolina;Anthoathecata;Aplanulata;Hydridae;Hydra;Hydra vulgaris,3,317,976,1302
450,blade,AF-A0A8S3YZ24-F1-model_v6,1.0,1.05e-19,100452.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Spiralia;Lophotrochozoa;Mollusca;Gastropoda;Heterobranchia;Euthyneura;Panpulmonata;Eupulmonata;Stylommatophora;Helicina;Helicoidea;Geomitridae;Candidula;Candidula unifasciata,1,471,755,1212
451,blade,AF-A0A6H5HQ23-F1-model_v6,1.0,1.46e-16,355587.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Paraneoptera;Hemiptera;Prosorrhyncha;Heteroptera;Euheteroptera;Neoheteroptera;Panheteroptera;Cimicomorpha;Cimicoidea;Miridae;Bryocorinae;Dicyphini;Dicyphina;Nesidiocoris;Nesidiocoris tenuis,2,469,207,663
452,blade,AF-A0AAW0PHZ7-F1-model_v6,1.0,0.00497,88201.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Actinopterygii;Actinopteri;Neopterygii;Teleostei;Osteoglossocephalai;Clupeocephala;Euteleosteomorpha;Neoteleostei;Eurypterygia;Ctenosquamata;Acanthomorphata;Euacanthomorphacea;Percomorphaceae;Gobiaria;Gobiiformes;Gobioidei;Gobiidae;Gobionellinae;Mugilogobius;Mugilogobius chulae,33,385,42,432
453,blade,AF-A0A914WB89-F1-model_v6,1.0,3.68e-12,2011161.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Nematoda;Chromadorea;Plectida;Plectina;Plectoidea;Plectidae;Plectus;Plectus sambesii,5,468,5,473
454,blade,AF-A0A8B9S359-F1-model_v6,1.0,6.21e-24,8824.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Sauropsida;Sauria;Archelosauria;Archosauria;Dinosauria;Saurischia;Theropoda;Coelurosauria;Aves;Palaeognathae;Apterygiformes;Apterygidae;Apteryx;Apteryx owenii,2,457,834,1300
455,blade,AF-A0A6V7NTB9-F1-model_v6,1.0,0.00538,296719.0,cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;Liliopsida;Petrosaviidae;commelinids;Poales;Bromeliaceae;Bromelioideae;Ananas;Ananas comosus;Ananas comosus var. bracteatus,10,353,182,572
456,blade,AF-A0AB40DKU8-F1-model_v6,1.0,6.24e-07,28584.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Endopterygota;Diptera;Brachycera;Muscomorpha;Eremoneura;Cyclorrhapha;Schizophora;Acalyptratae;Ephydroidea;Drosophilidae;Drosophilinae;Drosophilini;Drosophila;Sophophora;melanogaster group;suzukii subgroup;Drosophila suzukii,1,317,2,334
457,blade,AF-A0AA88LES4-F1-model_v6,1.0,7.86e-10,6661.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Crustacea;Branchiopoda;Sarsostraca;Anostraca;Artemiidae;Artemia;Artemia franciscana,4,466,451,887
458,blade,AF-A0A6B0SBU8-F1-model_v6,1.0,1e-22,72004.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Mammalia;Theria;Eutheria;Boreoeutheria;Laurasiatheria;Artiodactyla;Ruminantia;Pecora;Bovidae;Bovinae;Bos;Bos mutus,2,460,566,1034
459,blade,AF-A0A3Q2YRV2-F1-model_v6,1.0,3.32e-20,109280.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Actinopterygii;Actinopteri;Neopterygii;Teleostei;Osteoglossocephalai;Clupeocephala;Euteleosteomorpha;Neoteleostei;Eurypterygia;Ctenosquamata;Acanthomorphata;Euacanthomorphacea;Percomorphaceae;Syngnathiaria;Syngnathiformes;Syngnathoidei;Syngnathidae;Hippocampinae;Hippocampus;Hippocampus comes,25,423,860,1280
460,blade,AF-A0AAV2LVL5-F1-model_v6,1.0,1.22e-07,637954.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Actinopterygii;Actinopteri;Neopterygii;Teleostei;Osteoglossocephalai;Clupeocephala;Euteleosteomorpha;Neoteleostei;Eurypterygia;Ctenosquamata;Acanthomorphata;Euacanthomorphacea;Percomorphaceae;Gobiaria;Gobiiformes;Gobioidei;Gobiidae;Gobiinae;Knipowitschia;Knipowitschia caucasica,3,349,78,406
461,blade,AF-A0AAW0NQ38-F1-model_v6,1.0,4.94e-20,88201.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Actinopterygii;Actinopteri;Neopterygii;Teleostei;Osteoglossocephalai;Clupeocephala;Euteleosteomorpha;Neoteleostei;Eurypterygia;Ctenosquamata;Acanthomorphata;Euacanthomorphacea;Percomorphaceae;Gobiaria;Gobiiformes;Gobioidei;Gobiidae;Gobionellinae;Mugilogobius;Mugilogobius chulae,46,459,144,577
462,blade,AF-A0A0C2G3H6-F1-model_v6,1.0,1.55e-07,51022.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Nematoda;Chromadorea;Rhabditida;Rhabditina;Rhabditomorpha;Strongyloidea;Ancylostomatidae;Ancylostomatinae;Ancylostoma;Ancylostoma duodenale,93,439,233,570
463,blade,AF-A0A668U3Y2-F1-model_v6,1.0,7.899999999999999e-23,47969.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Actinopterygii;Actinopteri;Neopterygii;Teleostei;Osteoglossocephalai;Clupeocephala;Euteleosteomorpha;Neoteleostei;Eurypterygia;Ctenosquamata;Acanthomorphata;Euacanthomorphacea;Percomorphaceae;Ovalentaria;Cichlomorphae;Cichliformes;Cichlidae;African cichlids;Pseudocrenilabrinae;Oreochromini;Oreochromis;Oreochromis aureus,54,442,899,1280
464,blade,AF-A0A2K3PAI8-F1-model_v6,1.0,0.02,57577.0,cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;eudicotyledons;Gunneridae;Pentapetalae;rosids;fabids;Fabales;Fabaceae;Papilionoideae;50 kb inversion clade;NPAAA clade;Hologalegina;IRL clade;Trifolieae;Trifolium;Trifolium pratense,10,457,228,737
465,blade,AF-A0AAV0R027-F1-model_v6,1.0,0.0234,586396.0,cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;eudicotyledons;Gunneridae;Pentapetalae;rosids;fabids;Malpighiales;Linaceae;Linum;Linum tenue,154,457,979,1298
466,blade,AF-A0A3Q1EIG3-F1-model_v6,1.0,4e-25,80966.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Actinopterygii;Actinopteri;Neopterygii;Teleostei;Osteoglossocephalai;Clupeocephala;Euteleosteomorpha;Neoteleostei;Eurypterygia;Ctenosquamata;Acanthomorphata;Euacanthomorphacea;Percomorphaceae;Ovalentaria;Ovalentaria incertae sedis;Pomacentridae;Acanthochromis;Acanthochromis polyacanthus,1,397,870,1280
467,blade,MGYP001059347393,1.0,2.3e-05,1580589.0,cellular organisms;Eukaryota;Amoebozoa;Evosea;Archamoebae;Pelobiontida;Pelomyxidae;Pelomyxa;Pelomyxa schiedti,24,418,414,875
468,blade,AF-A0A3B3CX11-F1-model_v6,1.0,9.359999999999999e-34,30732.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Actinopterygii;Actinopteri;Neopterygii;Teleostei;Osteoglossocephalai;Clupeocephala;Euteleosteomorpha;Neoteleostei;Eurypterygia;Ctenosquamata;Acanthomorphata;Euacanthomorphacea;Percomorphaceae;Ovalentaria;Atherinomorphae;Beloniformes;Adrianichthyoidei;Adrianichthyidae;Oryziinae;Oryzias;Oryzias melastigma,1,397,870,1265
469,blade,AF-A0ABD1CJG4-F1-model_v6,1.0,2.31e-08,38569.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Endopterygota;Diptera;Nematocera;Culicomorpha;Culicoidea;Culicidae;Culicinae;Culicini;Culex;Culex;Culex pipiens complex;Culex pipiens;Culex pipiens pipiens,49,396,1,344
470,blade,AF-A0A4U5LX43-F1-model_v6,1.0,1.18e-05,34508.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Nematoda;Chromadorea;Rhabditida;Tylenchina;Panagrolaimomorpha;Strongyloidoidea;Steinernematidae;Steinernema;Steinernema carpocapsae,59,449,44,405
471,blade,AF-A0A0N4U6X7-F1-model_v6,1.0,9.55e-09,318479.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Nematoda;Chromadorea;Rhabditida;Spirurina;Dracunculoidea;Dracunculidae;Dracunculus;Dracunculus medinensis,4,452,65,519
473,blade,AF-A0AB34GG41-F1-model_v6,1.0,7.95e-06,9764.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Mammalia;Theria;Eutheria;Boreoeutheria;Laurasiatheria;Artiodactyla;Whippomorpha;Cetacea;Mysticeti;Eschrichtiidae;Eschrichtius;Eschrichtius robustus,18,356,20,418
474,blade,AF-A0A9D5AW82-F1-model_v6,1.0,0.000361,3888.0,cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;eudicotyledons;Gunneridae;Pentapetalae;rosids;fabids;Fabales;Fabaceae;Papilionoideae;50 kb inversion clade;NPAAA clade;Hologalegina;IRL clade;Fabeae;Lathyrus;Lathyrus oleraceus,10,449,20,553
475,blade,AF-L8I5C6-F1-model_v6,1.0,1.22e-09,72004.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Mammalia;Theria;Eutheria;Boreoeutheria;Laurasiatheria;Artiodactyla;Ruminantia;Pecora;Bovidae;Bovinae;Bos;Bos mutus,66,448,211,544
476,blade,AF-A0A914VRI6-F1-model_v6,1.0,0.0119,2011161.0,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Nematoda;Chromadorea;Plectida;Plectina;Plectoidea;Plectidae;Plectus;Plectus sambesii,6,240,1097,1302
477,blade,AF-A0A397KV94-F1-model_v6,1.0,1.09e-05,3711.0,cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;eudicotyledons;Gunneridae;Pentapetalae;rosids;malvids;Brassicales;Brassicaceae;Brassiceae;Brassica;Brassica rapa,5,442,10,540
